"duration_sec","state","dv_pre_state_conf","dv_pre_national_conf","trust_federal","trust_state","accuracy_2016","accuracy_2020","birthyear","gender","gender_text","parent","msg_time","intro_time","dv_post_state_conf","dv_post_national_conf","seceffect","attentioncheck","voting_impt","vote_2020","vote_who_2020","vote_who_2020_text","edu","party","party_text","libcon","race","race_text","income","political_party","treatment_group","dummy_treat","attention_pass","treatment_group_num","dv_state_treatement_diff","dv_national_treatment_diff","always_believer","never_believer"
103,"Texas",8,8,"4","4","Yes","No","1990","Male","","Yes",30.175,11.45,7,9,"2","Black,Red","","","","","","","","","","","","2","Local",1,0,4,-1,1,0,0
66,"North Carolina",10,10,"5","5","Yes","Yes","1993","Female","","Yes",11.245,7.794,10,10,"5","Blue","","","","","","","","","","","","1","Soup",1,0,7,0,0,1,0
155,"California",10,10,"5","5","Yes","Yes","1963","Male","","No",19.085,11.566,10,10,"5","Red,Green","5","Yes, I voted","Joe Biden","","2-year college degree","Democrat","","Strong Liberal","Black or African American (non-Hispanic)","","$10,000-$19,999","1","RL_percentage",1,1,6,0,0,1,0
168,"Florida",1,1,"1","4","Yes","No","1968","Female","","No",11,16.422,6,3,"3","Red,Green","5","Yes, I voted","Donald Trump","","High school graduate (high school diploma or equivalent including GED)","Republican","","Strong Conservative","Caucasian/White (non-Hispanic)","","$75,000-$99,999","10","Bipartisan",1,1,1,5,2,0,0
120,"New York",8,7,"3","3","Yes","Yes","1956","Female","","No",12.3,21.852,8,8,"4","Blue","","","","","","","","","","","","4","Handcount",1,0,3,0,1,1,0
3683,"Maryland",2,2,"3","4","Yes","No","1958","Male","","No",11.836,21.414,2,2,"3","Red,Green","5","Yes, I voted","Howie Hawkins","","2-year college degree","Independent","","Moderate","Caucasian/White (non-Hispanic)","","$40,000-$49,999","4","Soup",1,1,7,0,0,0,0
227,"New York",6,6,"2","2","No","No","1955","Female","","Yes",12.01,17.672,8,8,"4","Red,Green","1","Yes, I voted","Donald Trump","","Postgraduate degree (MA, MBA, JD, PhD, etc.)","Republican","","Moderate Conservative","Caucasian/White (non-Hispanic)","","$100,000-$149,999","9","Handcount",1,1,3,2,2,0,1
209,"Texas",8,9,"5","5","No","Yes","1985","Male","","Yes",7.366,7.114,9,9,"5","Red,Green","5","Yes, I voted","Joe Biden","","Postgraduate degree (MA, MBA, JD, PhD, etc.)","Democrat","","Moderate Liberal","Caucasian/White (non-Hispanic)","","$100,000-$149,999","1","Soup",1,1,7,1,0,0,0
141,"Minnesotta",8,8,"2","2","Yes","Yes","1958","Male","","Yes",11.237,16.837,8,8,"2","Red,Green","5","Yes, I voted","Donald Trump","","Some college, but no degree","Republican","","Moderate Conservative","Caucasian/White (non-Hispanic)","","$10,000-$19,999","9","Bipartisan",1,1,1,0,0,1,0
127,"Florida",10,10,"5","5","Yes","Yes","1978","Male","","Yes",15.245,15.668,10,10,"5","Green","","","","","","","","","","","","1","RL_percentage",1,0,6,0,0,1,0
613,"Illinois",5,5,"3","3","No","No","1943","Female","","Yes",40.654,74.457,8,8,"4","Red,Green","5","Yes, I voted","Donald Trump","","Postgraduate degree (MA, MBA, JD, PhD, etc.)","Republican","","Moderate Conservative","Caucasian/White (non-Hispanic)","","$30,000-$39,999","10","RL_percentage",1,1,6,3,3,0,1
174,"New Jersey",9,8,"4","4","Yes","Yes","1948","Female","","No",9.579,NA,9,9,"1","Red,Green","1","Yes, I voted","Joe Biden","","Some college, but no degree","Democrat","","Moderate","Caucasian/White (non-Hispanic)","","$10,000-$19,999","2","Control",0,1,2,0,1,1,0
211,"Arizona",10,10,"4","3","Yes","Yes","1954","Male","","Yes",11.781,NA,10,10,"1","Blue","","","","","","","","","","","","9","Control",0,0,2,0,0,1,0
195,"Alabama",8,8,"4","3","Yes","Yes","1987","Male","","Yes",20.554,19.786,7,8,"4","White","","","","","","","","","","","","2","Soup",1,0,7,-1,0,1,0
195,"South Carolina",4,4,"2","2","Yes","No","1953","Female","","Yes",11.667,35.166,6,6,"4","Red,Green","2","Yes, I voted","Donald Trump","","Postgraduate degree (MA, MBA, JD, PhD, etc.)","Republican","","Moderate Conservative","Caucasian/White (non-Hispanic)","","$50,000-$74,999","9","Local",1,1,4,2,2,0,0
168,"California",10,8,"4","4","Yes","Yes","1954","Female","","No",11.404,24.078,10,10,"4","Red,Green","1","Yes, I voted","Joe Biden","","2-year college degree","Democrat","","Strong Liberal","Caucasian/White (non-Hispanic)","","$40,000-$49,999","1","Local",1,1,4,0,2,1,0
267,"Ohio",10,10,"4","4","Yes","Yes","1945","Female","","Yes",12.908,18.254,10,10,"1","Red,Green","1","Yes, I voted","Joe Biden","","2-year college degree","Democrat","","Moderate Liberal","Caucasian/White (non-Hispanic)","","$50,000-$74,999","1","Bipartisan",1,1,1,0,0,1,0
188,"Florida",6,3,"2","4","Yes","No","1966","Female","","No",12.273,14.57,6,3,"3","Green","","","","","","","","","","","","10","Handcount",1,0,3,0,0,0,0
302,"Ohio",9,9,"5","5","Yes","Yes","1991","Female","","Yes",13.716,23.748,9,9,"5","Red,Green","1","No, I did not vote for reasons outside of my control","","","Postgraduate degree (MA, MBA, JD, PhD, etc.)","Democrat","","Strong Conservative","Caucasian/White (non-Hispanic),Native American or Aleut","","$50,000-$74,999","1","Local",1,1,4,0,0,1,0
330,"New Jersey",8,9,"4","4","Yes","Yes","1966","Male","","Yes",62.457,14.14,8,8,"4","Red,Green","4","Yes, I voted","Joe Biden","","Postgraduate degree (MA, MBA, JD, PhD, etc.)","Democrat","","Strong Conservative","Caucasian/White (non-Hispanic)","","$100,000-$149,999","1","Handcount",1,1,3,0,-1,1,0
491,"California",10,6,"3","4","No","Yes","1959","Female","","No",13.024,97.478,10,10,"1","Red,Green","1","Yes, I voted","Joe Biden","","4-year college degree","Independent","","Strong Liberal","Caucasian/White (non-Hispanic)","","$40,000-$49,999","4","Soup",1,1,7,0,4,0,0
99,"Iowa",10,10,"5","5","Yes","Yes","1981","Male","","Yes",11.333,11.376,10,10,"5","White","","","","","","","","","","","","1","Loser",1,0,5,0,0,1,0
1506,"New York",9,9,"4","2","Yes","Yes","1977","Female","","No",328.431,653.637,8,9,"4","Red,Green","1","Yes, I voted","Joe Biden","","Postgraduate degree (MA, MBA, JD, PhD, etc.)","Independent","","Moderate","Caucasian/White (non-Hispanic)","","$30,000-$39,999","4","Loser",1,1,5,-1,0,1,0
129,"Arizona",7,7,"4","4","Yes","No","1990","Female","","No",11.549,16.19,7,7,"4","Red,Green","4","No, I did not vote because I chose not to","","","2-year college degree","Democrat","","Strong Conservative","Black or African American (non-Hispanic)","","$40,000-$49,999","1","Loser",1,1,5,0,0,0,0
208,"Maryland",1,1,"1","1","Yes","No","1985","Male","","Yes",22.146,28.123,1,1,"1","Red,Green","1","Yes, I voted","Donald Trump","","High school graduate (high school diploma or equivalent including GED)","Democrat","","Moderate","Black or African American (non-Hispanic)","","$50,000-$74,999","1","Soup",1,1,7,0,0,0,0
384,"Florida",9,9,"4","4","Yes","Yes","1961","Female","","Yes",34.271,37.722,9,9,"3","Red,Green","5","Yes, I voted","Other","Left blank ","4-year college degree","Republican","","Moderate Conservative","Caucasian/White (non-Hispanic)","","$50,000-$74,999","9","RL_percentage",1,1,6,0,0,1,0
133,"Virginia",8,8,"4","4","Yes","Yes","1989","Male","","Yes",25.752,11.102,8,8,"4","White","","","","","","","","","","","","1","Bipartisan",1,0,1,0,0,1,0
238,"Maryland",8,7,"3","3","No","No","1950","Male","","No",14.041,34.877,8,7,"2","Red,Green","5","Yes, I voted","Donald Trump","","Some college, but no degree","Republican","","Moderate Conservative","Caucasian/White (non-Hispanic)","","$75,000-$99,999","9","RL_percentage",1,1,6,0,0,0,1
65,"Michigan",8,10,"4","2","No","Yes","1991","Female","","Yes",9.48,NA,8,8,"5","Pink","","","","","","","","","","","","1","Control",0,0,2,0,-2,0,0
294,"New Hampshir",9,8,"2","3","Yes","Yes","1952","Female","","Yes",19.83,34.201,9,8,"3","Red,Green","1","Yes, I voted","Joe Biden","","2-year college degree","Independent","","Moderate","Caucasian/White (non-Hispanic)","","$50,000-$74,999","5","Bipartisan",1,1,1,0,0,1,0
145,"Texas",10,10,"4","4","Yes","Yes","1981","Male","","Yes",12.404,29.069,10,10,"5","Blue","","","","","","","","","","","","9","Handcount",1,0,3,0,0,1,0
